acronym,count,expansion_example
PMC10380571,1,
PMC11989401,1,
PMC12156006,1,
PMC12358798,1,
PMC11744942,1,
KCNK3,1,
PMC8777530,1,
PMC3521964,1,
PMC11519324,1,
PMC11229175,1,
PMC5979462,1,
PMC9101961,1,
PMC5979335,1,
PMC11122212,1,
PMC1370393,1,
PMC4196292,1,
JCI67383,1,
PMC3726159,1,
PMC6981965,1,
PMC5813862,1,
PMC11893092,1,
PMC7101318,1,
PMC13026157,1,
PMC9497241,1,
PMC3470747,1,
PMC6949061,1,
PMC11595006,1,
PMC4183134,1,
PMC3289120,1,
PMC2234176,1,
PMC9852070,1,
PMC6365944,1,
PMC5665587,1,
PMC12271248,1,
PMC5542606,1,
PMC12609130,1,
PMC6815950,1,
PMC8078961,1,
PMC13017359,1,
PMC11067968,1,
PMC6751266,1,
PMC5737148,1,
PMC3630177,1,
PMC5330206,1,
PMC2600761,1,
PMC6405702,1,
PMC7358430,1,
PMC11800069,1,
PMC7469794,1,
R115,1,
R128,1,
PMC7709916,1,
PMC2728297,1,
PMC4881570,1,
PMC5806230,1,
PMC10671374,1,
PMC9661319,1,
PMC8619171,1,
PMC7072450,1,
PMC2672860,1,
PMC12047499,1,
PMC6888331,1,
001X,1,
ATSDR,1,the Agency for Toxic Substances and Disease Registry
PEL,1,
TOXLINE,1,
NHEJ,1,a non-homologous end joining
CH3COO,1,antimony acetate	Sb
HSDB,1,
PMC5289473,1,
PMC3037053,1,
PMC7682321,1,
BF00379443,1,
BF02783802,1,
BF01079697,1,
PMC1128103,1,
XPA,1,
XPE,1,
PMC1241248,1,
SEK1,1,
PMC5515989,1,
PMC9587068,1,
TGS,1,
T7951,1,
FLA,1,
ISOLATE,1,
MASCOT,1,
DAKO0024,1,
0N,1,
190N,1,
KXGS,1,
PGGG,1,
PMC8018065,1,
PMC3069830,1,
PMC6936707,1,
PMC4674944,1,
PMC6555816,1,
PMC6394076,1,
PMC549057,1,
PMC5569151,1,
CLN1,1,
PMC6616324,1,
PMC6343147,1,
PMC2925685,1,
PMC7775633,1,
T231,1,
PMC5917035,1,
PMC44816,1,
PMC1137067,1,
PMC1868613,1,
PMC3183823,1,
M703269200,1,
PMC4231689,1,
PMC6999090,1,
PMC3381739,1,
PMC4526125,1,
PMC362555,1,
PMC3073119,1,
PMC5140006,1,
PMC2860888,1,
PMC4474601,1,
PMC4157056,1,
PMC3465504,1,
PMC7019250,1,
PMC5106509,1,
PMC4870772,1,
G116,1,
PMC3367389,1,
PMC4179983,1,
PMC6317365,1,
PMC6317356,1,
PMC6598029,1,
PMC5652035,1,
PMC5177639,1,
PMC2573460,1,
PMC2825666,1,
PMC5579350,1,
CLN6,1,
PMC4498759,1,
PMC6663862,1,
PMC5320451,1,
PMC196927,1,
PMC4815063,1,
PMC7792306,1,
PMC4026737,1,
PMC12630314,1,
948X,1,
ARNAS,1,
LIMA,1,
ABIONYX,1,
SANOFI,1,
WERFEN,1,
KABI,1,
FRESENIUS,1,
NOVARTIS,1,
CHINOOK,1,
ROCHE,1,
VIFOR,1,
RECOR,1,
E7631616014,1,
PMC11357349,1,
PMC5411330,1,
PMC2884327,1,
PMC6399621,1,
PMC10253889,1,
PMC4079942,1,
PMC9490586,1,
JP281101,1,
PMC3017674,1,
PMC8839325,1,
PMC8598045,1,
PMC7589692,1,
PMC6220876,1,
PMC7228909,1,
PMC5042570,1,
PMC5133877,1,
PMC8970877,1,
PMC7828812,1,
PMC7732631,1,
PMC7138754,1,
PMC10107279,1,
PMC8499480,1,
PMC10255447,1,
PMC7221535,1,
PMC5783752,1,
PMC3870323,1,
PMC9534344,1,
PMC5512726,1,
PMC4787057,1,
PMC4506471,1,
S7422,1,
PMC3012430,1,
PMC2890358,1,
KAUH,1,
PMC10046996,1,
PMC6354754,1,
PMC8348147,1,
PMC5401818,1,
PMC3747902,1,
DEFENCE,1,
PMC5500953,1,
PMC6224877,1,
PMC6446693,1,
PMC6468119,1,
PMC4742508,1,
S237454,1,
PMC7308123,1,
PMC8172050,1,
PMC3308273,1,
PMC3135022,1,
PMC2989959,1,
PMC3593165,1,
PMC1325029,1,
PMC5135731,1,
PMC2723667,1,
PMC5819806,1,
PMC5680777,1,
PMC6921505,1,
R461,1,
R469,1,
PMC9748572,1,
PMC7183822,1,
PMC8218776,1,
PMC3168743,1,
PMC5155237,1,
PMC9182754,1,
PMC6712481,1,
PMC7522780,1,
PMC7071240,1,
PMC11072437,1,
PMC11363092,1,
PMC6953486,1,
PMC3555407,1,
PMC3714497,1,
PMC8282372,1,
PMC4950274,1,
PMC10442190,1,
PMC6152525,1,
PMC6341282,1,
EPIRCE,1,
PMC4016563,1,
PMC4914832,1,
PMC9510590,1,
PMC5990470,1,
PMC8766278,1,
PMC8102292,1,
PMC11116924,1,
PMC6004924,1,
PMC7206473,1,
PMC9696013,1,
PMC9477920,1,
PMC6658129,1,
PMC3756673,1,
PMC7878354,1,
PMC11583597,1,
RHEA,1,
TISSUE,1,
BARRIERS,1,
RO1AG057658,1,to KT
TP1796,1,
GC31520,1,
GLPBIO,1,
B0084,1,
BOC,1,
KRRQRRKKRGY,1,amin acid N-terminal extension
3110TR,1,
RRQRRKKRGY,1,
JC1,1,
MAR709,1,
PMC10186239,1,
PMC10228637,1,
PMC8348485,1,
PMC8152728,1,
PMC7905684,1,
PMC5393926,1,
S427,1,
S453,1,
P0848,1,
PMC3392648,1,
PMC4191295,1,
PMC6460655,1,
PMC5819888,1,
PMC3894554,1,
PMC9661919,1,
PMC6685093,1,
PMC9363704,1,
PMC9866634,1,
PMC10477949,1,
S348055,1,
PMC8943601,1,
PMC7476877,1,
PMC11005324,1,
PMC8864443,1,
PMC7606641,1,
PMC8881610,1,
GAW,1,
PMC7526454,1,
LY3298176,1,
PMC6308032,1,
PMC9569163,1,
JP276149,1,
PMC6166047,1,
PMC7213778,1,
PMC3402449,1,
PMC6308033,1,
PMC9897197,1,
PMC5635907,1,
PMC10623903,1,
S0196,1,
PMC8085572,1,
PMC7921015,1,
PMC11739250,1,
IRCSS,1,
NHN,1,
S3796,1,
PMC9973389,1,
MUC16,1,
MUC20,1,
TSS200,1,
TSS1500,1,
HTB,1,
1012K,1,
IMSR,1,
VSVG,1,
HRM,1,
R7757,1,
R37109,1,
16V,1,
8R,1,
GSE208080,1,
S1I,1,
S1J,1,
S1K,1,
S1L,1,
1K,1,
S9C,1,
CCSG,1,
ORIEN,1,
PMC8639744,1,
PMC8188581,1,
PMC8190869,1,
PMC7825161,1,
PMC7021511,1,
PMC3396362,1,
PMC8870477,1,
JCI61271,1,
PMC3582115,1,
PMC5596892,1,
PMC8479631,1,
PMC3157597,1,
PMC3991758,1,
PMC3855469,1,
PMC2614293,1,
PMC8563430,1,
PMC5340232,1,
PMC5342157,1,
PFND1,1,
S236929,1,
PMC7170631,1,
PMC7225921,1,
MUC5,1,
IJC7,1,
PMC4346793,1,
PMC2757265,1,
PMC4116509,1,
R100,1,
PMC1794559,1,
MASTL,1,
PMC6095835,1,
PMC6838936,1,
PMC2848712,1,
PMC5740157,1,
PMC5376761,1,
PMC6780288,1,
PMC7516130,1,
PMC5296654,1,
PMC4852857,1,
IPEX,1,
L334,1,
NLRP6,1,
PMC5994402,1,
PMC6116004,1,
HHIP,1,
PMC6876884,1,
PMC6975268,1,
PMC4155060,1,
PMC5890100,1,
PMC6354612,1,
PMC3888091,1,
PMC7299702,1,
SSEA,1,
PMC7290611,1,
PMC6252342,1,
PMC3761563,1,
PMC6034925,1,
PMC1867011,1,
PMC2171754,1,
PMC1821080,1,
PMC528889,1,
PMC4740200,1,
M206402200,1,
PMC5903678,1,
PMC3581042,1,
PMC8138604,1,
PMC6141049,1,
PMC8801880,1,
PMC5318667,1,
PMC7024841,1,
PMC6702745,1,
PMC6614013,1,
PMC5516414,1,
PMC6299094,1,
PMC5989854,1,
JCI64048,1,
PMC3533546,1,
PMC13481201,1,
MGR,1,
PPBS,1,
J40,1,
RLN,1,
NPLH,1,
PMC10811845,1,
NBK559281,1,
PMC7616842,1,
PMC10650064,1,
PMC9415273,1,
PMC9138026,1,
PMC11823367,1,
PMC10683519,1,
PMC11942939,1,
PMC7216332,1,
PMC10883379,1,
PMC11291206,1,
PMC5425194,1,
PMC10650144,1,
PMC2797986,1,
PMC1560381,1,
PMC7827207,1,
PMC6451256,1,
PMC3410238,1,
PMC5556826,1,
PMC5511936,1,
PMC11548965,1,
PMC7582118,1,
PMC5558949,1,
PMC7788870,1,
PMC4936452,1,
ACURE,1,
PMC7789818,1,
PMC2993844,1,
PMC4493698,1,
PMC4316436,1,
PMC6045902,1,
PMC2650609,1,
PMC12851792,1,
PMC12899587,1,
S10611,1,
PMC3107696,1,
PMC6760893,1,
PMC5763036,1,
PMC9140845,1,
PMC3781532,1,
PMC13361392,1,
LGF,1,
GLFF,1,
LVPFGW,1,
VSFPVL,1,
VLPF,1,
LRF,1,
GAWY,1,
SNHANQLDFHP,1,
PVQVLASAYR,1,
SSYYPFK,1,
LLPSF,1,
LPQFF,1,
NLPLPF,1,
MAPK8,1,
MAPK14,1,
MAS1,1,
MBPDB,1,
GBDT,1,research team utilized a gradient boosting decision tree
FPRPFL,1,
ERT,1,extremely randomized tree
PMC7385676,1,
PMC5863783,1,
PMC9455805,1,
PMC8145060,1,
PMC11816975,1,
PMC11722916,1,
PMC7999667,1,
PMC12939569,1,
PMC6550218,1,
PMC7146574,1,
LVLPGE,1,
FSAP,1,
LWT,1,
PMC11499197,1,
PMC8991738,1,
AK094457,1,
PMC12385867,1,
PMC12177741,1,
D5CS00415B,1,
PMC6657004,1,
PMC6928608,1,
D1119,1,
D1126,1,
PMC4702810,1,
PMC5486413,1,
PMC4383949,1,
PMC4515604,1,
PMC9096110,1,
PMC10806797,1,
E25,1,
W357,1,
W364,1,
PMC6602486,1,
W726,1,
W731,1,
PMC9252837,1,
W609,1,
W614,1,
PMC2896160,1,
D1138,1,
PMC7779006,1,
PMC2938269,1,
D789,1,
D798,1,
PMC4383985,1,
PMC6002921,1,
D1465,1,
D1477,1,
PMC10767903,1,
PMC7732055,1,
691X,1,
ECRI,1,
DK118213,1,
K23DK,1,
K08DK118213,1,
UCPR,1,
01995R1,1,
CRIS,1,
01995R2,1,
RESUBMIT,1,
BEFORE,1,
RECEIVED,1,
REQUIREMENTS,1,
01995R3,1,
PROCESS,1,
USRD,1,
PMC3392651,1,
PMC4891750,1,
PMC2588106,1,
PMC3013524,1,
PMC6058621,1,
PMC5745961,1,
PMC3752941,1,
PMC3285421,1,
PMC4700009,1,
PMC5108197,1,
PMC4633789,1,
V1281713,1,
PMC5117429,1,
PMC9704679,1,
PMC6891889,1,
XIONG,1,
28CHARLS,1,
IJEPB,1,
PMC6815066,1,
PMC5408909,1,
PMC6425463,1,
PMC8788191,1,
PMC3991926,1,
PMC5597122,1,
PMC5810382,1,
PMC4545349,1,
PMC7431052,1,
PMC9704759,1,
SERGAS,1,
UVIGO,1,
MRF,1,
A12,1,
A24,1,
1NS,1,
PMC5910276,1,
PMC2889282,1,
PMC4833164,1,
RJW,1,
PMC7004559,1,
PMC5933548,1,
PMC6491046,1,
PMC7299313,1,
AMJHYPER,1,
MORNING,1,
EVENING,1,
RAMIPRIL,1,
TAKING,1,
AMBULATORY,1,
ARTERIAL,1,
PMC8673208,1,
PETR,1,
PMC1936293,1,
PMC1401071,1,
PMC6447046,1,
PMC2852926,1,
PMC4025564,1,
2000WR900350,1,
PTR,1,
PMC13132715,1,
PERK,1,through the protein kinase R-like endoplasmic reticulum kinase
IRE1,1,
ATF6,1,
BIO89,1,
LY2405319,1,
BFKB8488A,1,
NGM313,1,
PMC10874377,1,
PMK,1,
PMC11196551,1,
PMC12386213,1,
PMC7585574,1,
PMC11151220,1,
PMC12435370,1,
PMC12121056,1,
PMC9582318,1,
PMC12125341,1,
PMC9204180,1,
PMC10496074,1,
PMC7176677,1,
ACB,1,
PMC12774890,1,
PMC8685940,1,
PMC11001512,1,
PMC11605152,1,
PMC3294310,1,
PMC5012490,1,
PMC4886489,1,
MAFLD,1,
PMC9889784,1,
PMC12467552,1,
PMC12533907,1,
PEACP,1,
PMC10120114,1,
PMC7101406,1,
PMC11294033,1,
PMC9816377,1,
PMC4473254,1,
PMC4368742,1,
PMC6483847,1,
PMC4862867,1,
PMC9069677,1,
PMC1088017,1,
PMC7876379,1,
PMC4363087,1,
PMC3902842,1,
PMC9990864,1,
PMC7764934,1,
PMC11673429,1,
PMC3936257,1,
PMC7184681,1,
PMC8716832,1,
PMC8791311,1,
PMC549593,1,
PMC3934740,1,
PMC11176756,1,
PMC2846040,1,
PMC5568813,1,
PMC9261267,1,
PMC12080990,1,
PMC12374811,1,
PMC10875896,1,
F227,1,
PMC11993225,1,
PMC2082142,1,
PMC3809777,1,
PMC2626374,1,
PMC3585177,1,
PMC3767931,1,
PMC9818928,1,
PMC11360640,1,
F1119,1,
PMC4534759,1,
PMC6978691,1,
PMC11843125,1,
PMC5053113,1,
PMC6765272,1,
F1372,1,
PMC4042102,1,
PMC9424710,1,
PMC3083312,1,
PMC3491167,1,
R15,1,
PMC4238413,1,
PMC8502176,1,
PMC2768230,1,
PMC10860320,1,
PMC10949337,1,
PMC9780337,1,
PMC10185566,1,
PMC1881212,1,
PMC6506575,1,
PMC10077489,1,
PMC8591237,1,
PMC7792332,1,
PMC11997804,1,
PMC11727289,1,
PMC10835837,1,
PMC6446149,1,
PMC4443484,1,
PMC9353562,1,
PMC11393841,1,
RESCUE,1,
PMC8861265,1,
PMC11333272,1,
PMC11892870,1,
THAILAND,1,
A1A0,1,
ATCI,1,
BTCI,1,
2CEK,1,
1P0I,1,
2BEG,1,
KP250,1,
TFTN,1,
10I,1,
10H,1,
10J,1,
12D,1,
12H,1,
12J,1,
14A,1,
16B,1,
16C,1,
16D,1,
PMC10138573,1,
PMC10128090,1,
PMC2873716,1,
PMC9805975,1,
PMC9781592,1,
PMC8068256,1,
PMC6694352,1,
PMC8599153,1,
PMC7522354,1,
PMC8587556,1,
PMC10004790,1,
PMC10217178,1,
PMC4740492,1,
PMC8037236,1,
PMC4787279,1,
PMC7922581,1,
PMC3493940,1,
PMC3351313,1,
PMC2922021,1,
PMC1297669,1,
PMC3634507,1,
PMC10485067,1,
PMC3332351,1,
PMC2895266,1,
PMC6311295,1,
PMC9321094,1,
PMC6711031,1,
PMC5878042,1,
PMC3426815,1,
PMC6836233,1,
PMC6606780,1,
PMC9736131,1,
BPL,1,
PMC7990465,1,
PMC8162271,1,
B1800340,1,
PMC6421120,1,
PMC7854095,1,
PMC2875740,1,
PMC2823569,1,
PMC7047126,1,
PMC10070452,1,
S169925,1,
PMC6120512,1,
PMC5871153,1,
PMC7690784,1,
PMC8708668,1,
KPFORCE,1,safety of daily consumption of Kaempferia parviflora extract
03753R1,1,
Q9D6P8,1,
Q5NC92,1,
Q8R1M2,1,
P22752,1,
P63054,1,
Q9D9Y2,1,
Q60932,1,
Q9D3D9,1,
P19157,1,
Q91XV3,1,
BASP1,1,
P00015,1,
P63101,1,
KCIP,1,
SEZ,1,
P56382,1,
Q9QY23,1,
Q8CEV2,1,
P16858,1,
P68369,1,
O88935,1,
Q64436,1,
O08599,1,
P68368,1,
Q9D0M5,1,
P17742,1,
Q9CXK3,1,
P62897,1,
P28663,1,
P05213,1,
Q6IRU5,1,
P06467,1,
Q4VBD1,1,
AK190093,1,
Q6ZQ49,1,
MKIAA0778,1,
P55821,1,
Q04447,1,
P45591,1,
P21107,1,
P17710,1,
Q9WV27,1,
Q8BWN0,1,
Q6PIE5,1,
P05064,1,
Q6P3A9,1,
P54227,1,
P62331,1,
ARF6,1,
P58774,1,
Q8BYR2,1,
P09411,1,
Q9ERD7,1,
P27600,1,
BAT4,1,
Q9CPQ1,1,
P02088,1,
P26883,1,
P84084,1,
P01942,1,
P30275,1,
Q922F4,1,
O08585,1,
Q60864,1,
STI1,1,
Q9Z1W8,1,
P10637,1,
Q03265,1,
O35381,1,
P63260,1,
P07724,1,
2510040B16,1,
P68372,1,
Q9CWW7,1,
Q9CZU6,1,
P99028,1,
P97450,1,
Q9CQ69,1,
Q8BG05,1,
Q64343,1,
P28184,1,
2010010O17,1,
Q9DBJ1,1,
P17183,1,
P10639,1,
I420044H02,1,
E130116L18,1,
Q8K3X6,1,
P60840,1,
P63044,1,
Q64511,1,
P48771,1,
O08997,1,
ATOX1,1,
P35803,1,
Q9DA32,1,
E430030L01,1,
P63024,1,
Q6TEK5,1,
P35550,1,
P63028,1,
P02104,1,
P32,1,
RACK,1,
2700082N11,1,
Q64433,1,
P50114,1,
Q9CXZ1,1,
2310046N07,1,
Q62048,1,
Q9DCX2,1,
P70296,1,
PEBP,1,Phosphatidylethanolamine-binding protein
P84075,1,
P70349,1,
Q9DCJ5,1,
P99029,1,
5730544G20,1,
P62761,1,
VILIP,1,
NVL,1,
3526403B12,1,
P05202,1,
Q62420,1,
P15532,1,
NDK,1,
NDP,1,
L5178Y,1,
I730025H19,1,
Q9CPP6,1,
Q9R0P9,1,
Q61036,1,
P40124,1,
Q8BFR5,1,
Q91VR2,1,
NNE,1,
P14094,1,
P63038,1,
CPN60,1,
I830086I04,1,
Q9WUM5,1,
P99024,1,
Q8K1M6,1,
O88643,1,
P65,1,
P35564,1,
O54983,1,
P50516,1,
P20029,1,
Q9R0P5,1,
P11499,1,
Q68FD5,1,
Q9JJZ2,1,
Q3UVK0,1,
P09041,1,
P63085,1,
P16546,1,
P07901,1,
Q9D8N0,1,
Q99KI0,1,
Q8BVI4,1,
HDHPR,1,
O08553,1,
DRP,1,
ULIP,1,
FMR1,1,
Q61598,1,
UPS,1,
YMC,1,
ALILTLVS,1,
PMC6569954,1,
PMC3544944,1,
PMC552978,1,
PMC6762743,1,
PMC1993833,1,
EWS,1,
BJ20040618,1,
PMC1133870,1,
PMC2106363,1,
JOBB,1,
M600398,1,
PMC3782866,1,
PMC2394761,1,
464X,1,
PMC12820609,1,
FEBS70212,1,
COL15A1,1,
XVIII,1,
OULAC,1,Laboratory Animal Centre of the University of Oulu
HPA017913,1,
F3B,1,
RGB,1,
83AA,1,
C6198,1,
A7811,1,
D8281,1,
C6219,1,
FV1000,1,
SP8,1,
UCT,1,
FC6,1,
GMBH,1,
PSLA,1,and parasternal long axis
LVID3,1,
PMC8152700,1,
JCI87491,1,
PMC5409799,1,
PMC5010608,1,
PMC7852327,1,
4A6376,1,
PMC1858337,1,
PMC2377253,1,
TES,1,
PMC14731,1,
PMC1887414,1,
PMC6300608,1,
PMC6588179,1,
PMC7415659,1,
PMC11179922,1,
JCI71059,1,
PMC3934180,1,
29B,1,
PMC5770094,1,
PMC8910720,1,
PMC9557071,1,
PMC9628527,1,
PMC7428548,1,
PMC4492320,1,
H1525,1,
H1539,1,
PMC4042196,1,
PMC7952448,1,
PMC2527933,1,
PMC2820754,1,
PMC3392911,1,
S1L0C0,1,
RANTE,1,
P21,1,
DSP4,1,
PMC3483167,1,
PMC2100431,1,
PMC2127678,1,
PMC2784760,1,
PMC500895,1,
PMC166260,1,
PMC2765462,1,
PMC3562078,1,
PMC3100125,1,
PMC2737117,1,
PMC3842398,1,
PMC4040822,1,
PMC1276812,1,
PMC2783232,1,
PMC3699311,1,
PMC4005142,1,
PMC6725603,1,
PMC2191344,1,
PMC3819935,1,
PMC3946275,1,
PMC2556656,1,
PMC4358899,1,
PMC3445467,1,
PMC2762082,1,
PMC2953007,1,
PMC6674174,1,
PMC3267003,1,
PMC3055332,1,
BF01258634,1,
BF02251132,1,
PMC3199576,1,
PMC2927988,1,
PMC4150474,1,
PMC15894,1,
YLZ,1,
PMC3458017,1,
PMC3948211,1,
PMC2775636,1,
PMC2864332,1,
PMC3949405,1,
PMC2335091,1,
PMC2830964,1,
PMC298116,1,
JCI31450,1,
PMC1878531,1,
PMC3302720,1,
PMC3637949,1,
PMC2640215,1,
PMC4430467,1,
PMC6762514,1,
PMC6792587,1,
PMC50443,1,
PMC16029,1,
PMC6621136,1,
PMC2312368,1,
PMC6633528,1,
PMC2901482,1,
PMC553297,1,
PMC11520721,1,
PMC1850858,1,
PMC323854,1,
PMC3462674,1,
PMC2851853,1,
PMC6214001,1,
PCO2,1,
CH3COOH,1,
CH3CH2COOH,1,
14COOH,1,
CH2COOH,1,
2COOH,1,
SMCT1,1,
JP15K15034,1,
JP18H03182,1,
JST,1,
KPUM,1,
KPU,1,
HPO4,1,
H2PO4,1,
PMC4317304,1,
PMC4452057,1,
CB57BL,1,
R78,1,
PMC3196915,1,
14R01SR,1,
PMC5331971,1,
PMC1892979,1,
POU4F2,1,
E303,1,
E312,1,
PMC4773651,1,
PMC3479113,1,
PMC6001920,1,
E1220,1,
E1228,1,
CEACAM1,1,
PMC5266688,1,
PMC2965702,1,
E1373,1,
E1380,1,
PMC2586840,1,
PMC4877665,1,
PMC3309902,1,
BJ20040139,1,
PMC1133819,1,
E964,1,
E973,1,
PMC2575896,1,
PMC2387130,1,
PMC3561567,1,
PMC2860140,1,
PMC3113597,1,
PMC4570876,1,
PMC5707914,1,
PMC6154237,1,
PMC5618766,1,
PMC4151858,1,
MQAE,1,
PMC10717022,1,
PMC5955400,1,
EP086681,1,
PDE1A,1,
PMC5877519,1,
PMC5731883,1,
CALHM3,1,
PMC5934295,1,
PMC5578156,1,
NOX1,1,
PMC5969997,1,
PMC5585217,1,
PMC5469862,1,
PMC5995252,1,
PMC10716996,1,
TRPV2,1,
PMC5392297,1,
CALHM1,1,
JP274164,1,
PMC5599488,1,
PMC5140854,1,
PMC4964136,1,
PMC5356793,1,
PMC5104600,1,
PMC6155806,1,
PMC4688368,1,
NOS1,1,
PMC5877596,1,
PMC5666799,1,
PMC5751249,1,
PMC4180894,1,
UUR,1,synthetase corrects mitochondrial dysfunctions due to the tRNALeu
PMC2863588,1,
PMC4875370,1,
MELAS,1,
3243A,1,
PMC4252755,1,
PMC4449630,1,
S50516,1,
PMC4085289,1,
PMC4102118,1,
BF02256066,1,
EIPA,1,ethyl-isopropyl amiloride
DIDS,1,
PMC4508152,1,
19F,1,
C782,1,
MCT4,1,
PMC1664883,1,
PMC5703876,1,
PMC3258103,1,
E725,1,
PMC2893060,1,
PMC5343821,1,
PMC5751310,1,
PMC5412415,1,
PMC5666829,1,
PMC5666819,1,
PMC5796167,1,
SLC13,1,
PMC5133071,1,
PMC6019286,1,
PMC5769528,1,
PMC11012052,1,
FPNC326Y,1,
PMC4089599,1,
PMC3579209,1,
PMC4366189,1,
JCI57301,1,
PMC3195468,1,
PMC3785278,1,
PMC3668543,1,
PMC4524113,1,
PMC4731118,1,
JCI31370,1,
PMC1884690,1,
V78,1,
PMC3580239,1,
NCOA4,1,
PMC4180099,1,
PMC3775241,1,
PMC138640,1,
PMC3224662,1,
PMC4800685,1,
PMC3572738,1,
PMC3820057,1,
CDC2,1,
PMC6807751,1,
1559S,1,
1566S,1,
PMC5701707,1,
PMC5706455,1,
PMC60081,1,
PMC2652503,1,
PMC4178024,1,
PMC2269874,1,
PMC5439503,1,
PMC1602399,1,
C733,1,
C740,1,
PMC5494590,1,
PMC3822789,1,
BJ20121139,1,
PMC4048856,1,
PMC3372862,1,
PMC4769187,1,
PMC8456337,1,
PMC3731139,1,
JCI200420945,1,
PMC398432,1,
PMC9954506,1,
S354658,1,
PMC8967989,1,
F568,1,
F576,1,
PMC2805781,1,
PMC10380001,1,
F1005,1,
F1008,1,
PMC5668589,1,
F1836,1,
F1844,1,
PMC2604828,1,
F991,1,
F999,1,
PMC3625853,1,
PMC5134386,1,
PMC3226076,1,
F555,1,
PMC5142167,1,
PMC6592178,1,
PMC3842011,1,
PMC2581977,1,
JCI0215686,1,
PMC151151,1,
PMC8745395,1,
PMC1774035,1,
PMC2905036,1,
PMC2855274,1,
PMC6683712,1,
PMC3805480,1,
PMC3515606,1,
PMC4214520,1,
PMC2597200,1,
PMC3396629,1,
PMC4849272,1,
PMC6436791,1,
PMC4119757,1,
PMC11483014,1,
PMC12183107,1,
MD5,1,
ADVP20,1,
FILER21,1,
ENSEMBL22,1,
KEGG28,1,
OMIM32,1,and clinical significance
ENCODE36,1,
FANTOM538,1,
AAIC,1,s Association International Conference
ASHG,1,American Society for Human Genetics
TAGC,1,sequencing partners such as The American Genome Center
CCDG,1,
R01AG20688,1,
AG28786,1,
AG009029,1,
R01AG022018,1,
CL1,1,
KA2,1,
AG062428,1,
AG039700,1,
AG007232,1,
AG003991,1,
U01MH046281,1,
MH046290,1,
MH046373,1,
AG048927,1,
JMV,1,
PLW,1,
PO1AG07232,1,
R01AG037212,1,
RF1AG054023,1,
AG052427,1,
AG057516,1,
HL143790,1,
HG010067,1,
AG055477,1,
CWOW,1,
NS055077,1,
APL,1,
1P50NS091856,1,
MPF,1,
NS038377,1,
AG05146,1,
SFG,1,
CUREPSP,1,
01KU1403A,1,
01EK1605A,1,
NOMIS,1,
L016397,1,
L016451,1,
NS078086,1,
LASIDAD,1,Dementia for the Longitudinal Aging Study of India
PMC6368893,1,
PMC7573798,1,
PMC10805795,1,
NAR,1,
PMC8759563,1,
D933,1,
D941,1,
PMC9825606,1,
PMC29783,1,
PMC9439720,1,
D977,1,
D985,1,
PMC9825413,1,
D498,1,
D503,1,
PMC7145712,1,
D258,1,
PMC308770,1,
D523,1,
D531,1,
PMC9825514,1,
D1038,1,
D1043,1,
PMC6323937,1,
D816,1,
PMC10767879,1,
PMC9825295,1,
PMC7410828,1,
PMC5215096,1,
PMC4792175,1,
PMC10841343,1,
PMC6309165,1,
PMC9329413,1,
OATPP,1,of macrophages by the organic anion transporting polypeptide
CD83,1,
CD62L,1,
PMC3720736,1,
PMC5721893,1,
PMC5373444,1,
PMC6629661,1,
V10193,1,
KDPC,1,
PMC4497535,1,
PMC3509694,1,
JCI18237,1,
PMC152943,1,
PMC1961630,1,
PMC4470379,1,
E376,1,
PMC5198570,1,
PMC3558276,1,
E340,1,
PMC4747743,1,
V114684,1,
PMC6892583,1,
PMC4389298,1,
PMC5823761,1,
PMC5438909,1,
PMC2998130,1,
PMC6728754,1,
PMC5385902,1,
PMC6784029,1,
PMC3701605,1,
PMC4437213,1,
PMC2043503,1,
PMC3661714,1,
GARY,1,
MCHD,1,
PMC2440405,1,
PMC7301893,1,
OATP2B1,1,
PMC6311723,1,
PMC7270035,1,
PMC3342043,1,
PMC6493976,1,
PMC3880462,1,
PMC3878881,1,
PMC2570419,1,
JCI5549,1,
PMC408366,1,
PMC7285853,1,
PMC1915585,1,
PMC6744494,1,
PMC6077267,1,
E472,1,
PMC6769553,1,
PMC5688134,1,
PMC6054355,1,
C770,1,
UTWG,1,
PMC4446915,1,
PMC2780615,1,
PKT,1,
V1291927,1,
PMC3169360,1,
DADSI,1,
201701326R,1,
PMC4049264,1,
PMC5431124,1,
PMC5037471,1,
PMC3902719,1,
PMC5949994,1,
PMC12133462,1,
SKAN,1,
INAHTA,1,Network of Agencies for Health Technology Assessment Database
INHATA,1,
WPG,1,
WRT,1,
WSD,1,
TQMS,1,
IASPSG,1,
CODAM,1,
MSMS,1,
HMDB0000532,1,
HMDB0004620,1,
HMDB0000812,1,
HMDB0000866,1,
HMDB0001310,1,
HMDB0001209,1,
HMDB0000650,1,
HMDB0000112,1,
HMDB0001147,1,
HMDB0303361,1,
HMDB0000191,1,
HMDB0000043,1,
HMDB0011621,1,
HMDB0000904,1,
HMDB0000064,1,
HMDB0000562,1,
HMDB0000574,1,
HMDB0000078,1,
HMDB0000192,1,
HMDB0034912,1,
HMDB0003334,1,
HMDB0001539,1,
HMDB0000092,1,
HMDB0240650,1,
HMDB0000148,1,
HMDB0000641,1,
HMDB0036301,1,
HMDB0029147,1,
HMDB0029151,1,
HMDB0011170,1,
HMDB0004207,1,
HMDB0028832,1,
HMDB0000123,1,
